county_fips,bea_county_name,state_name,population_start,gdp_per_capita_start,gdp_index_start,population_end,gdp_per_capita_end,gdp_index_end,gdp_index_change,gdp_index_ratio,rank_start,rank_end,rank_gain,period
29069,"Dunklin, MO",Missouri,33006.0,17624.007756165545,47.760205293185805,27002.0,42737.426857269835,49.88527948976453,2.1250741965787228,1.0444946621048532,2322.0,2262.0,60.0,2001-2024
42025,"Carbon, PA",Pennsylvania,59318.0,17550.37256819178,47.5606575091014,65743.0,42564.18173797971,49.683059051344394,2.122401542242997,1.0446251514045373,2332.0,2273.0,59.0,2001-2024
06087,"Santa Cruz, CA",California,256045.0,33848.054052998494,91.72658300609937,262406.0,80379.69406187358,93.82323173011177,2.0966487240123968,1.022857591063574,543.0,643.0,-100.0,2001-2024
13267,"Tattnall, GA",Georgia,22242.0,15569.73293768546,42.19322027952413,24275.0,37915.79814624099,44.25723134711805,2.064011067593924,1.048918073897184,2599.0,2541.0,58.0,2001-2024
51179,"Stafford, VA",Virginia,98320.0,20517.53458096013,55.601522494444055,168919.0,49402.6012467514,57.66520710163828,2.063684607194226,1.0371156132891943,1929.0,1877.0,52.0,2001-2024
38037,"Grant, ND",North Dakota,2783.0,19268.05605461732,52.21549635594083,2247.0,46500.66755674232,54.27792378038606,2.0624274244452323,1.0394983782282974,2093.0,2041.0,52.0,2001-2024
13141,"Hancock, GA",Georgia,10022.0,9267.511474755538,25.11450611660308,8683.0,23272.140965104227,27.16441633808709,2.0499102214840086,1.081622557575553,3071.0,3032.0,39.0,2001-2024
20073,"Greenwood, KS",Kansas,7653.0,14578.335293349013,39.5065808002533,5871.0,35574.51882132516,41.524372069532276,2.0177912692789732,1.051074814079229,2716.0,2660.0,56.0,2001-2024
48067,"Cass, TX",Texas,30134.0,21504.081768102475,58.27501747023069,28622.0,51642.61756690658,60.27986709428982,2.0048496240591334,1.034403243638379,1775.0,1759.0,16.0,2001-2024
21071,"Floyd, KY",Kentucky,41844.0,16758.72287544212,45.41532527995595,34532.0,40620.43901308931,47.41422453748409,1.9988992575281372,1.0440137606679292,2438.0,2384.0,54.0,2001-2024
40041,"Delaware, OK",Oklahoma,37606.0,13033.452108706058,35.32002238100126,41771.0,31967.872447391732,37.314512571315674,1.9944901903144157,1.056469108903715,2853.0,2790.0,63.0,2001-2024
12041,"Gilchrist, FL",Florida,14283.0,11538.682349646433,31.269268911844478,20233.0,28487.17441802995,33.25166633131915,1.9823974194746725,1.0633976261185871,2968.0,2908.0,60.0,2001-2024
29181,"Ripley, MO",Missouri,13460.0,10744.130757800891,29.116072677049644,10715.0,26626.13159122725,31.07936330831481,1.963290631265167,1.067429788798841,3015.0,2952.0,63.0,2001-2024
22111,"Union, LA",Louisiana,22783.0,15005.749901242154,40.66485363471353,20617.0,36484.89110927875,42.58700450587364,1.922150871160106,1.0472681123711032,2662.0,2615.0,47.0,2001-2024
55059,"Kenosha, WI",Wisconsin,151962.0,25911.194903989155,70.21808008302422,168754.0,61791.5427189874,72.12620425031662,1.9081241672923994,1.0271742571861304,1162.0,1252.0,-90.0,2001-2024
48009,"Archer, TX",Texas,8849.0,19466.15436772517,52.752333165885766,9155.0,46824.35827416712,54.65575190656001,1.9034187406742475,1.0360821716584312,2066.0,2022.0,44.0,2001-2024
42101,"Philadelphia, PA",Pennsylvania,1505455.0,36239.918164275914,98.20841861174073,1573916.0,85766.2982014288,100.11074767953596,1.902329067795236,1.0193703258303746,448.0,528.0,-80.0,2001-2024
13119,"Franklin, GA",Georgia,20703.0,24983.81877022654,67.70493578887191,25208.0,59601.951761345605,69.57040328328571,1.8654674944138065,1.0275529024978474,1267.0,1342.0,-75.0,2001-2024
27043,"Faribault, MN",Minnesota,15929.0,23767.34258271078,64.4083443861758,13886.0,56776.321474866774,66.27218514192464,1.8638407557488392,1.0289378771261954,1436.0,1475.0,-39.0,2001-2024
28147,"Walthall, MS",Mississippi,15114.0,11255.987825856822,30.503180478484147,13839.0,27696.509863429437,32.32876279712597,1.8255823186418212,1.0598489170638952,2984.0,2932.0,52.0,2001-2024
38017,"Cass, ND",North Dakota,125520.0,40278.513384321224,109.15281556583108,200945.0,95075.3688820324,110.97676435018839,1.823948784357313,1.0167100479717563,325.0,368.0,-43.0,2001-2024
21227,"Warren, KY",Kentucky,94211.0,31738.15159588583,86.00884979271918,147936.0,75241.99653904392,87.82625213383942,1.8174023411202427,1.0211304109460848,652.0,774.0,-122.0,2001-2024
35003,"Catron, NM",New Mexico,3488.0,15699.254587155963,42.5442176607219,3795.0,37994.729907773384,44.349364478993614,1.8051468182717159,1.042429898057293,2579.0,2534.0,45.0,2001-2024
12075,"Levy, FL",Florida,35118.0,14315.934848225981,38.79548833470925,47765.0,34762.29456715168,40.576302966936844,1.780814632227596,1.0459026218941636,2751.0,2688.0,63.0,2001-2024
54007,"Braxton, WV",West Virginia,14702.0,14261.393007754046,38.64768259528562,12051.0,34623.43373993859,40.41421760791794,1.7665350126323176,1.0457086918025922,2758.0,2696.0,62.0,2001-2024
13307,"Webster, GA",Georgia,2369.0,15061.629379485015,40.81628430754795,2315.0,36480.777537796974,42.58220293782989,1.7659186302819379,1.0432650511980919,2654.0,2616.0,38.0,2001-2024
04003,"Cochise, AZ",Arizona,118798.0,21869.661105405816,59.2657197237772,125773.0,52286.42077393399,61.031346658706,1.7656269349287967,1.0297917066249755,1712.0,1716.0,-4.0,2001-2024
02020,"Anchorage Municipality, AK",Alaska,264274.0,47111.58872987884,127.67011797529403,289600.0,110888.93301104972,129.43515373661342,1.765035761319382,1.0138249716481107,184.0,226.0,-42.0,2001-2024
48061,"Cameron, TX",Texas,342368.0,16694.442821759043,45.24112945556483,431874.0,40259.17512978322,46.99253911761852,1.751409662053689,1.0387127749269367,2444.0,2408.0,36.0,2001-2024
39071,"Highland, OH",Ohio,41295.0,17922.872018404167,48.57011293262835,43785.0,43094.8955121617,50.30253492766597,1.732421995037619,1.0356684778032257,2286.0,2245.0,41.0,2001-2024
21001,"Adair, KY",Kentucky,17584.0,12137.681983621475,32.892528835750426,19239.0,29637.247258173502,34.59408933810785,1.7015605023574238,1.0517309116259868,2930.0,2875.0,55.0,2001-2024
06101,"Sutter, CA",California,80138.0,22268.26224762285,60.34590946528046,98545.0,53156.82175655792,62.0473225720751,1.7014131067946465,1.0281943402936622,1652.0,1670.0,-18.0,2001-2024
27029,"Clearwater, MN",Minnesota,8384.0,19013.716603053435,51.526248791544035,8630.0,45587.833140208575,53.21241742342308,1.6861686318790419,1.0327244593081217,2129.0,2092.0,37.0,2001-2024
37045,"Cleveland, NC",North Carolina,96861.0,24775.059105315864,67.1392072331986,102194.0,58959.67473628589,68.82070515541379,1.6814979222151862,1.0250449475278245,1305.0,1372.0,-67.0,2001-2024
40027,"Cleveland, OK",Oklahoma,213414.0,17027.61768206397,46.144017149830916,303952.0,40971.0579301995,47.82348461607643,1.6794674662455122,1.0363962127699509,2401.0,2362.0,39.0,2001-2024
48455,"Trinity, TX",Texas,13852.0,9774.906150736355,26.48952105218353,14489.0,24122.092621989093,28.156522767379,1.6670017151954681,1.0629306098782052,3056.0,3010.0,46.0,2001-2024
