county_fips,bea_county_name,state_name,population_2024,bachelors_or_higher_pct,income_index_2020_2024,mobility_5yr_avg,county_gdp_per_capita,pcpi_2024,education_residual_after_controls,income_residual_after_controls
19013,"Black Hawk, IA",Iowa,132348.0,30.1,80.37264064972803,-9.48773689182596,76353.12526302098,56987.0,-4.888589367404187,-0.727618147030114
19049,"Dallas, IA",Iowa,115343.0,51.6,118.51932847535302,15.102906880964028,99267.20826611356,85124.0,12.038139840605908,14.68373315676105
19061,"Dubuque, IA",Iowa,99242.0,32.9,90.546545348849,2.6293938461000153,89064.41767392974,66392.0,-1.1649134144587947,11.061522790795806
19103,"Johnson, IA",Iowa,160080.0,54.6,92.46916624979924,3.5577351043379792,78043.68515182624,66028.0,20.25320370344439,10.988291861403113
19113,"Linn, IA",Iowa,231762.0,34.8,92.0865869322822,-9.5874612075891,91680.89844550102,66525.0,-4.899656128529884,-4.378013493775171
19153,"Polk, IA",Iowa,516185.0,39.5,95.99563327788364,-11.625164426359008,119720.549773742,69800.0,-2.7798094469104555,-6.92345640058862
19155,"Pottawattamie, IA",Iowa,93529.0,23.5,82.75127961470047,-9.305363925326262,62833.07460896935,62836.0,-12.161567302581567,-2.449060390852111
19163,"Scott, IA",Iowa,175601.0,36.2,95.28159593366614,-8.80875038235041,72723.4168282636,70007.0,-4.385196918131015,-4.803968560446222
19169,"Story, IA",Iowa,102498.0,53.3,77.07698960173222,-8.184278805021975,74117.25089256735,56392.0,20.436223536828273,0.17533528918200147
19181,"Warren, IA",Iowa,56343.0,32.7,91.88603705933632,-1.8612930915681432,33468.81310298407,66638.0,-3.1154404448887334,1.2965698376044799
19193,"Woodbury, IA",Iowa,107257.0,23.4,77.14365731309347,-18.540585454440205,64974.366490166416,55344.0,-13.75512961446254,-12.486752338312755
20015,"Butler, KS",Kansas,69158.0,32.6,82.24748712270538,-13.690847938965687,58566.22887095824,59909.0,-2.7985306281212914,-5.045233453608873
20045,"Douglas, KS",Kansas,121989.0,52.0,80.8157053071104,3.0678260241513584,55461.96893272102,58698.0,23.509395454069697,19.30257456499278
20091,"Johnson, KS",Kansas,632276.0,56.9,133.9918059701763,2.8574710461884933,105778.93793390636,95419.0,6.956448775982736,4.048703833972581
20103,"Leavenworth, KS",Kansas,84670.0,36.6,76.60959163017975,-9.67974521270598,45401.87652285649,55369.0,4.8209373586911894,3.266101263115914
20155,"Reno, KS",Kansas,61417.0,20.5,73.63141401224387,-16.95288846124012,53850.08023600733,53245.0,-13.017115214011696,-5.142788756822213
20161,"Riley, KS",Kansas,72557.0,48.0,76.44830737270152,-28.34723240773523,51014.725979640214,55837.0,8.960172189662948,-21.69410378725786
20169,"Saline, KS",Kansas,53459.0,29.1,85.79927860659605,-3.6748199873181737,69266.31475251389,62527.0,-3.86280672509249,7.784840613726985
20173,"Sedgwick, KS",Kansas,536081.0,31.6,88.08827624142249,-11.495024282506549,76198.6033040529,63303.0,-6.209620011944494,1.925951805803308
20177,"Shawnee, KS",Kansas,177942.0,32.3,83.98450395700566,-18.204897780925577,78706.0875417099,61542.0,-6.174078867386697,-7.8651913816313055
20209,"Wyandotte, KS",Kansas,169418.0,20.5,59.81266844314564,-26.71985780967495,88875.60752524257,42878.0,-11.93385814449443,-10.427039026319946
21015,"Boone, KY",Kentucky,144135.0,35.4,88.81512983965558,1.7637894951597133,118673.1456463,64196.0,2.6627350164492896,-2.9290627682353545
21029,"Bullitt, KY",Kentucky,85802.0,18.9,77.89394676293625,11.557690140325192,43144.804047639074,56382.0,-5.661175419249208,13.610138791352028
21037,"Campbell, KY",Kentucky,94008.0,39.5,94.04052847642978,14.748914778688745,51469.44512999903,69948.0,9.366254187921822,15.398159271460386
21047,"Christian, KY",Kentucky,71006.0,20.0,69.09264853938863,-16.368742364794485,106120.7867876968,49795.0,-12.367980917971956,-18.960453220764066
21059,"Daviess, KY",Kentucky,104457.0,25.2,76.14723509855587,-4.966450193881002,57688.06628228112,54758.0,-5.602263850428354,-5.220996295088554
21067,"Fayette, KY",Kentucky,329437.0,47.3,94.12752716494089,-1.6089271359170567,85798.79298210649,69065.0,10.422682598603629,-4.763829951934113
21073,"Franklin, KY",Kentucky,52442.0,31.8,76.54946509148094,-17.845163037183084,82861.83891550143,55891.0,-3.8252829266630535,-24.992449314857765
21093,"Hardin, KY",Kentucky,112826.0,24.4,80.58966718606789,-33.42306827774365,64179.23410975128,58679.0,-19.23487777933063,-45.324660198613884
21111,"Jefferson, KY",Kentucky,793881.0,36.6,96.54625273229796,-2.094630735822193,97999.88165558688,70646.0,-2.021763923427706,-2.5282922583040346
21113,"Jessamine, KY",Kentucky,56495.0,32.4,87.83751582373039,9.443705083644248,52872.99226650803,64325.0,3.3204316859255556,6.09457292020717
21117,"Kenton, KY",Kentucky,174862.0,37.6,105.84628418993552,21.049887670305907,68885.79470842142,78130.0,5.140988099265549,20.84207751007507
21125,"Laurel, KY",Kentucky,63353.0,16.5,61.92771820736921,6.445204064623866,45189.82640161961,44825.0,-3.8243353829729827,12.320357599642655
21145,"McCracken, KY",Kentucky,67550.0,27.9,92.927126382538,5.573289446620663,99614.09505208331,70969.0,-5.20467573613039,2.3025747812842354
21151,"Madison, KY",Kentucky,99582.0,34.2,68.08755903938024,-0.1767831464104858,43797.680302772584,49437.0,8.688202349318292,2.410436357279849
21185,"Oldham, KY",Kentucky,70525.0,45.6,117.50226036024593,26.940143602716542,38998.14868804665,87137.0,11.855748419841412,18.782286603125357
21195,"Pike, KY",Kentucky,55430.0,16.0,67.69772608432187,8.355819389147342,45309.71356976299,50689.0,-6.197767517844369,15.121148014608202
21199,"Pulaski, KY",Kentucky,66842.0,17.9,71.42494460733847,7.368849530438368,44644.657496603206,51943.0,-5.890897953482337,10.95889302116477
21209,"Scott, KY",Kentucky,61700.0,33.2,81.22107755162563,2.9219778952409285,70968.74839108274,58861.0,4.165708802317223,-0.44472193754853606
21211,"Shelby, KY",Kentucky,50124.0,31.0,87.22307029578909,3.3107519904714877,46205.02479474886,64459.0,-0.26112989349678983,-1.8141931482918352
21227,"Warren, KY",Kentucky,147936.0,33.4,69.06936131026244,-1.3427010362341465,74900.70447622302,49863.0,6.906965938884955,1.3639724678716476
22001,"Acadia, LA",Louisiana,56604.0,13.4,71.09770328527091,12.442895618502696,34819.829424307034,51423.0,-6.769199146617366,6.637432424606743
22005,"Ascension, LA",Louisiana,133534.0,28.5,91.22980065479643,23.18658628642693,92309.00593344896,66285.0,4.803057955660925,13.233975969181529
22015,"Bossier, LA",Louisiana,131102.0,27.3,80.9062620981555,1.3083347139442338,57048.19025198631,59143.0,-1.153484823102751,-11.205144892622442
22017,"Caddo, LA",Louisiana,224893.0,25.3,91.77528397189988,4.56410775950782,76100.52667047255,67649.0,-6.697939175227727,-7.1202757131848955
22019,"Calcasieu, LA",Louisiana,206861.0,24.7,78.35963240487294,2.9022838048264674,91316.75196963598,56113.0,-2.496236665064174,-5.9514334035185215
22033,"East Baton Rouge, LA",Louisiana,453022.0,38.2,94.60782480808471,6.164060175342598,97484.09636478874,70775.0,5.619269926097843,-5.33126650503921
22045,"Iberia, LA",Louisiana,67540.0,14.7,71.96191350262667,7.513113507207592,51872.73463017025,52567.0,-7.779286513264221,-0.03650643075943094
22051,"Jefferson, LA",Louisiana,427253.0,29.9,91.12376258149077,-2.8345297781681893,70435.36177060886,65691.0,-4.920490561094503,-15.737915360681441
22055,"Lafayette, LA",Louisiana,254241.0,34.9,93.59671767739736,18.27479300965345,77005.03111292461,69524.0,7.864726088870476,8.805999260269019
22057,"Lafourche, LA",Louisiana,95342.0,20.4,82.698363364465,14.017280750503003,61902.855073962965,64579.0,-3.820088782016196,5.520872154666492
22063,"Livingston, LA",Louisiana,152886.0,20.3,74.53449944024338,7.341881905614613,28325.978994800214,53590.0,-3.058194399186835,-2.3522917537880232
22071,"Orleans, LA",Louisiana,362701.0,42.0,96.05845558020128,6.679148185049684,78923.95654659806,71513.0,8.739474062049531,-3.216814699236295
22073,"Ouachita, LA",Louisiana,157874.0,27.5,71.81500844434626,3.0479021113860796,56009.451534143824,51953.0,3.0140790300067017,-4.0548272162662045
22079,"Rapides, LA",Louisiana,125899.0,22.4,81.48783050309993,6.907374443048781,56253.21865026854,58789.0,-4.368562569327452,-2.1609328980260614
22089,"St. Charles, LA",Louisiana,50400.0,27.2,87.70620020452063,9.521227702951409,250748.7225960704,64344.0,-0.3563738677980375,-4.613252588894198
22097,"St. Landry, LA",Louisiana,80869.0,14.3,72.1457753806748,22.37419316031606,38346.13043054744,51290.0,-2.5897852593781145,20.851423987835872
22099,"St. Martin, LA",Louisiana,51218.0,15.3,71.43374944149181,19.414512428849008,36886.731705424856,52366.0,-2.0745511330510844,14.692877992314536
22103,"St. Tammany, LA",Louisiana,277615.0,36.6,112.24066580217443,28.501080760929355,61621.75538649468,82398.0,6.527255094673944,14.544432284686437
22105,"Tangipahoa, LA",Louisiana,139823.0,22.2,72.58104027675905,15.35410144057294,45322.45706932509,52248.0,2.475288958596149,10.743690894273684
22109,"Terrebonne, LA",Louisiana,103864.0,17.7,75.9744446921654,4.9864227283465254,63375.09547139584,56037.0,-7.464544787672178,-4.053182728322952
22113,"Vermilion, LA",Louisiana,57641.0,16.8,72.30175196759951,11.98130421186491,30986.551173922955,52234.0,-3.935967984223815,5.077699394235367
23001,"Androscoggin, ME",Maine,115272.0,23.4,76.67144680015284,-8.288699111451706,59860.58954978055,56487.0,-9.245170089177954,-13.411068605952195
23003,"Aroostook, ME",Maine,66776.0,22.4,78.4709940172369,5.633013271937173,51091.30260163327,58192.0,-5.518520719976426,4.812762118549358
23005,"Cumberland, ME",Maine,313809.0,52.2,119.6163772844715,21.944449198943005,106505.79525397136,90142.0,14.251802675099569,14.435008162240237
23009,"Hancock, ME",Maine,56946.0,39.2,96.84705679319194,13.270583803695814,62602.45346266315,72341.0,7.520857011708856,6.024282163207502
23011,"Kennebec, ME",Maine,128461.0,30.9,83.67227492935305,-4.295854678588981,63256.31697103826,61181.0,-2.9433178156666386,-10.330746133836072
23017,"Oxford, ME",Maine,60039.0,22.5,71.9930695486083,-4.29865367807696,42496.45824819507,52819.0,-6.428383101231191,-8.40968820968412
23019,"Penobscot, ME",Maine,156840.0,30.5,78.34814167233665,0.6332948108144478,59407.082066275536,56593.0,0.5424364955848375,-1.0749179770127597
23025,"Somerset, ME",Maine,51338.0,20.3,72.87656908374989,-0.3340374145509202,46314.1272712971,53415.0,-7.39265445066852,-3.5621746064801982
23031,"York, ME",Maine,220143.0,34.6,99.88244828636066,11.02896650231061,59505.19952871267,74683.0,0.33516054350813107,5.147717106570369
24001,"Allegany, MD",Maryland,67097.0,21.1,72.63477013517578,-8.755909879868824,50094.19733774091,52707.0,-6.580547391976943,9.39259860002975
24003,"Anne Arundel, MD",Maryland,602350.0,45.2,119.57809360866202,8.654952353956446,110145.00047382458,87614.0,5.3975100733495935,20.042304029103022
24005,"Baltimore, MD",Maryland,852425.0,41.4,106.63864045635208,-14.39909611587528,81102.6488195427,78953.0,-2.6726006539645937,-4.601096564925001
24009,"Calvert, MD",Maryland,94913.0,35.3,108.5837918204169,2.424911962865309,64735.65693936518,79588.0,-1.457600936769957,8.224052284982832
24013,"Carroll, MD",Maryland,177108.0,39.7,107.58812846789324,7.414896417716903,48117.1594442341,78696.0,4.751616605325303,18.555309577406064
24015,"Cecil, MD",Maryland,106305.0,26.9,85.31292304439212,-8.035907773005846,67577.63064599583,61236.0,-5.2577471112348775,4.731374297263713
24017,"Charles, MD",Maryland,174478.0,31.6,96.5449903150474,-8.534241735882546,47522.54756683065,70211.0,-5.1143242571274286,-0.03621225140864226
24021,"Frederick, MD",Maryland,299317.0,44.9,108.06426420474914,5.09031249057594,68297.9157526013,78929.0,8.768748153397041,15.79357741433519
24025,"Harford, MD",Maryland,265514.0,39.5,102.67918552113773,-1.8037857445154373,64988.12231199692,74919.0,2.6357942565703922,9.250255261500925
24027,"Howard, MD",Maryland,339668.0,64.5,135.63051718721766,0.5888822893452073,104380.43999089592,99767.0,15.933465547153475,-0.5084447496879534
24031,"Montgomery, MD",Maryland,1082273.0,60.3,142.66898078371725,-27.0451873733943,106417.89131096668,104882.0,-2.72025637652731,-34.71946043794344
24033,"Prince George's, MD",Maryland,966629.0,36.1,82.50534980997581,-40.08569130636367,63332.13720614828,59684.0,-8.611836952562463,-30.633100542731384
24035,"Queen Anne's, MD",Maryland,53688.0,37.2,118.8102026606537,16.15805545736704,52163.35302545583,86365.0,1.8799886144211229,22.770999477983366
24037,"St. Mary's, MD",Maryland,116469.0,35.1,100.93950706282176,-0.8325286987697069,85991.56262022174,73314.0,-0.3027581981089611,8.704138759120369
24043,"Washington, MD",Maryland,157228.0,23.5,81.51214152581431,-10.14495830196175,61196.46784878058,59536.0,-8.29111035235093,5.019142464339481
24045,"Wicomico, MD",Maryland,106329.0,29.1,71.6013741442453,-20.638787891603684,64195.54923787662,51806.0,-2.6368804364642493,-7.408005540484439
24047,"Worcester, MD",Maryland,54337.0,32.7,99.9343095548542,10.161642669083278,71498.65800784549,73572.0,2.2815902083151123,22.08328938422993
24510,"Baltimore (Independent City), MD",Maryland,568271.0,35.4,92.64656070836443,-3.3430986013860178,106955.03930227844,69564.0,0.9534307174753138,16.206811386026658
25001,"Barnstable, MA",Massachusetts,232570.0,47.4,131.329836188196,13.340484854001318,77692.69753513015,96768.0,-1.5308101426515393,-14.010806653384122
25003,"Berkshire, MA",Massachusetts,128726.0,38.3,99.74441636949952,1.9371246490403136,68660.86671300382,72172.0,-2.9236202407788454,-17.25740741581808
25005,"Bristol, MA",Massachusetts,588593.0,30.6,97.73886617269858,5.556302473517519,59322.30186226307,69073.0,-8.918399326615571,-8.65025892122614
25009,"Essex, MA",Massachusetts,823938.0,42.3,120.5224370825146,15.462763575897895,72151.92540674728,86852.0,-2.409315218664446,-2.272157834115248
25011,"Franklin, MA",Massachusetts,70871.0,40.3,97.82206071215882,6.367864377988113,54526.67719466456,70392.0,1.9689028295067388,-13.118476891993367
25013,"Hampden, MA",Massachusetts,464151.0,28.9,93.21573436284068,-4.040348521131591,63121.580717852106,66238.0,-12.609353503044623,-19.969631438059267
25015,"Hampshire, MA",Massachusetts,165399.0,51.1,93.2475217909654,3.968591640948702,63175.00558766244,65432.0,13.276186065634256,-12.655688533388513
25017,"Middlesex, MA",Massachusetts,1668956.0,59.0,153.81517001440517,36.28376892092216,140120.99111711408,112011.0,9.067201175719966,16.333162253805227
25021,"Norfolk, MA",Massachusetts,740754.0,57.6,163.12577807545316,37.0893828685882,98579.56772572944,119680.0,4.720719437324057,11.853272093017978
25023,"Plymouth, MA",Massachusetts,542090.0,41.2,122.20627194764872,25.864305974622027,65482.192713141274,87818.0,0.17591262183086798,9.469527892657325
