county_fips,bea_county_name,state_name,population_start,income_index_start,pcpi_start,income_index_end,pcpi_end,population_end,income_index_volatility,income_index_change,income_index_ratio,population_change_pct,rank_start,rank_end,rank_gain,period,high_volatility
39151,"Stark, OH",Ohio,369989.0,95.00673534335247,5809.909090909091,82.00954397640558,54663.6,374091.0,4.8261622218619555,-12.997191366946893,0.8631971583911888,1.1086816094532548,674.0,1237.0,-563.0,1969-1979 avg vs 2020-2024 avg,False
39141,"Ross, OH",Ohio,61241.0,81.73168508272269,4998.454545454545,68.72254679673303,45735.8,76046.0,4.927371175235685,-13.009138285989664,0.8408311504550189,24.174980813507286,1526.0,2316.0,-790.0,1969-1979 avg vs 2020-2024 avg,False
40007,"Beaver, OK",Oklahoma,6494.0,113.1343094363864,6852.909090909091,100.12219748686923,66725.6,5025.0,18.458700773529614,-13.012111949517177,0.8849852709196614,-22.620880813058207,147.0,443.0,-296.0,1969-1979 avg vs 2020-2024 avg,True
12069,"Lake, FL",Florida,68094.0,91.88342943431361,5596.454545454545,78.82896096663073,52600.2,444204.0,5.601827000565095,-13.05446846768288,0.8579235826519147,552.3394131641554,862.0,1459.0,-597.0,1969-1979 avg vs 2020-2024 avg,False
18041,"Fayette, IN",Indiana,26075.0,85.72242742752724,5187.090909090909,72.6613658482633,48382.2,23335.0,5.432299823075591,-13.061061579263935,0.8476354208435568,-10.50814956855225,1288.0,2000.0,-712.0,1969-1979 avg vs 2020-2024 avg,False
41061,"Union, OR",Oregon,19286.0,89.76488932405948,5493.909090909091,76.67020872788797,51104.0,26058.0,5.939907645952547,-13.094680596171514,0.854122467094027,35.11355387327595,1014.0,1632.0,-618.0,1969-1979 avg vs 2020-2024 avg,False
18049,"Fulton, IN",Indiana,16989.0,88.96533327326146,5395.181818181818,75.85969572406762,50520.8,20004.0,5.3369283197521495,-13.105637549193844,0.85268826556363,17.74677732650538,1064.0,1709.0,-645.0,1969-1979 avg vs 2020-2024 avg,False
21075,"Fulton, KY",Kentucky,10274.0,75.98874733289523,4735.818181818182,62.86356100010603,41917.4,6282.0,7.3962322727439584,-13.125186332789198,0.8272746058664484,-38.85536305236519,1926.0,2757.0,-831.0,1969-1979 avg vs 2020-2024 avg,False
39007,"Ashtabula, OH",Ohio,97679.0,85.4716437898959,5200.909090909091,72.34448906857774,48228.8,96906.0,5.166815112895669,-13.12715472131815,0.8464150899731498,-0.7913676429938898,1303.0,2025.0,-722.0,1969-1979 avg vs 2020-2024 avg,False
05059,"Hot Spring, AR",Arkansas,22006.0,70.76190758941082,4307.727272727273,57.62637960395722,38368.0,33313.0,4.517132122202993,-13.135527985453606,0.8143700695341447,51.38144142506589,2246.0,2973.0,-727.0,1969-1979 avg vs 2020-2024 avg,False
